Length;Width;Qty;Enabled
596;2096;1;T1.pfl;TRUE
596;2096;1;T1.pfl;TRUE
596;2096;1;T2.pfl;TRUE
596;2096;1;T2.pfl;TRUE
1196;2096;1;T3.pfl;TRUE
1196;2096;1;T3.pfl;TRUE
1196;2096;1;T4.pfl;TRUE
1196;2096;1;T4.pfl;TRUE
