Bucati,Lungime,Latime,Eticheta
1,596,2096,T1.pfl
1,596,2096,T1.pfl
1,596,2096,T2.pfl
1,596,2096,T2.pfl
1,1196,2096,T3.pfl
1,1196,2096,T3.pfl
1,1196,2096,T4.pfl
1,1196,2096,T4.pfl
