Length;Width;Qty;Enabled
496;601;1;MS1.pfl;TRUE
146;601;1;MS2.pfl;TRUE
996;601;1;MS3.pfl;TRUE
146;601;1;MS4.pfl;TRUE
496;601;1;MS5.pfl;TRUE
